groupName,groupItem,products,description
Tooling,Abrasive,Sandpaper,
Tooling,Abrasive,Finishing Stone,
Tooling,Abrasive,Oil Stone,
Tooling,Abrasive,Sharpening Stone,
Tooling,Air Compressor,1/4hp,
Tooling,Aluminum,Bar,
Tooling,Aluminum,Flat Bar,
Tooling,Aluminum,Sheet ,
Tooling,Aluminum,Round Bar,
Tooling,Asbestos,Pipe,
Tooling,Asbestos,Cover,
Tooling,Asbestos,Sheet ,
Tooling,Asbestos,Roofing,
Tooling,Asbestos,Asbestos Packing,
Tooling,Bearing,Ball Bearing,
Tooling,Bearing,Pillow Block Bearing,
Tooling,Bearing,Roller Bearing,
Tooling,Belt,V-Belt,
Tooling,Belt,Conveyor Belt,
Tooling,Belt,Adjustable Link Belt,
Tooling,Brush,Paint Brush,
Tooling,Brush,Mop Handle,
Tooling,Brush,Steel Brush,
Tooling,Brush,Floor Broom,
Tooling,Canvas,Truck Canvas,
Tooling,Canvas,Cover,
Tooling,Construction,Concrete Mixer,
Tooling,Construction,Compact Vibrator,
Tooling,Construction,Shovel,
Tooling,Construction,Plywood,
Tooling,Construction,Paint,
Tooling,Construction,Tanguili,
Tooling,Electrical,Wire,
Tooling,Electrical,Panel Board,
Tooling,Electrical,Ballast,
Tooling,Electrical,Flourescent Tube,
Tooling,Electrical,Safety Switch,
Tooling,Electrical,Conduct Pipe,
Tooling,Engine,Gasoline and Diesel 2Hp and up,
Tooling,Filter,Fuel Filter,
Tooling,Filter,Air Filter,
Tooling,Filter,Gasoline Filter,
Tooling,Fire,Fire Hose,
Tooling,Fire,Fire Hose Cabinet,
Tooling,Fire,Automatic Emergency Light,
Tooling,Fire,Extinguisher,
Tooling,Generator,Diesel and Gasoline 1KVA and up,
Tooling,Hardware and Tools,Screwdriver,
Tooling,Hardware and Tools,Drill Bit,
Tooling,Hardware and Tools,Circular Saw,
Tooling,Hardware and Tools,Round Die Screw,
Tooling,Hardware and Tools,B.I. Pipe,
Tooling,Hardware and Tools,S/S Pipe,
Tooling,Hardware and Tools,C Channel,
Tooling,Hardware and Tools,Deformed Bar,
Tooling,Hardware and Tools,Expanded Metal,
Tooling,Hardware and Tools,MS Plate,
Tooling,Hardware and Tools,G.I. Sheet,
Tooling,Hose,Hydraulic Hose,
Tooling,Hose,Air Hose,
Tooling,Hose,Oil Hose,
Tooling,Hose,Garden Hose,
Tooling,Hose,Hose Fitting,
Tooling,Insulator,Insulation Board,
Tooling,Insulator,Insulation Blanket,
Tooling,Insulator,Thermal Insulation,
Tooling,Machinery,Welding Machine,
Tooling,Machinery,Chain Hoist,
Tooling,Machinery,Universal Circular Saw,
Tooling,Machinery,Hand Saw,
Tooling,Machinery,Electric Drill,
Tooling,Machinery,Angle Grinder,
Tooling,Packaging,Masking Tape,
Tooling,Packaging,Packaging Tape,
Tooling,Packaging,Wooden Pallet,
Tooling,Packaging,PVC Strap,
Tooling,Pole Line,Ground Rod,
Tooling,Pole Line,Ground Clamp,
Tooling,Pole Line,Messenger Wire,
Tooling,Pole Line,Guy Grip,
Tooling,Pole Line,Cable Grip,
Tooling,Pole Line,Wood Molding,
Tooling,Pole Line,Pole Clamp,
Tooling,Pole Line,Timbe Eye Bolt,
Tooling,Pole Line,Step Ladder,
Tooling,Pole Line,Extension Ladder,
Tooling,Pump,Submersible Centrifugal Pump,
Tooling,Pump,Jet Pump,
Tooling,Rope,Wire Rope,
Tooling,Rope,Nylon Rope,
Tooling,Rope,Abaca Rope,
Tooling,Safety,Safety Helmet,
Tooling,Safety,Gloves,
Tooling,Safety,Goggles,
Tooling,Safety,Respiratoir,
Tooling,Safety,Safety Belt and Shoes,
Tooling,Safety,Aprons,
Tooling,Stretch Film,Hand Roll,
Tooling,Stretch Film,Machine Roll,
Tooling,Safety,Dust Mask,
Tooling,Valve,Gate Valves,
Tooling,Valve,Globe Valves,
Tooling,Valve,Ball Valves,
Tooling,Valve,Check Valves,
Tooling,Valve,Butterfy Valves,
Tooling,Valve,Stainless Materials,
Tooling,Valve,Cast Iron,
Tooling,Valve,Forged Steel,
Tooling,Valve,Bronze,
Tooling,Wire,S/S Wire Rope,
Cleanroom and Packaging,Cleanroom Materials,Non woven disposable beard mask,
Cleanroom and Packaging,Cleanroom Materials,Non woven disposable 2 or 3 ply face mask,
Cleanroom and Packaging,Cleanroom Materials,Rewashable Face mask,
Cleanroom and Packaging,Cleanroom Materials,Disposable paper Nurse mask,
Cleanroom and Packaging,Cleanroom Materials,Non woven disposable bouffant cap Head Cover,
Cleanroom and Packaging,Cleanroom Materials,PVC shoe cover ,
Cleanroom and Packaging,Cleanroom Materials,CPE shoe cover,
Cleanroom and Packaging,Cleanroom Materials,Non woven shoe cover,
Cleanroom and Packaging,Desiccants,Silica Gel - Cloth Type Packaging,
Cleanroom and Packaging,Desiccants,Silica Gel - Paper Type Packaging,
Cleanroom and Packaging,Desiccants,Silica Gel - Plastic Type Packaging,
Cleanroom and Packaging,Desiccants,Clay - Cloth Type Packaging,
Cleanroom and Packaging,Desiccants,Clay - Paper Type Packaging,
Cleanroom and Packaging,Desiccants,Clay - Plastic Type Packaging,
Cleanroom and Packaging,ESD Packaging Packs,Conductive Grid bag,
Cleanroom and Packaging,ESD Packaging Packs,Conductive Black PE bag,
Cleanroom and Packaging,ESD Packaging Packs,Aluminum Moisture Barrier Bag,
Cleanroom and Packaging,ESD Packaging Packs,Anti-Static Pink Bag,
Cleanroom and Packaging,ESD Packaging Packs,Anti Static Shielding bag,
Cleanroom and Packaging,ESD Packaging Packs,Anti Static Ziplock PE bag,
Cleanroom and Packaging,ESD Packaging Packs,Various Thickness of PE Foam Sheet /Roll,
Cleanroom and Packaging,ESD Packaging Packs,All types of Bubble Sheet/Roll,
Cleanroom and Packaging,ESD Packaging Packs,Anti-Static Pink Bubble Bag,
Cleanroom and Packaging,ESD Packaging Packs,Anti-Static PE Foam Bag,
Cleanroom and Packaging,ESD Protective Products,Anti-Static-Static White PP strapping band,
Cleanroom and Packaging,ESD Protective Products,Conductive Black PP strapping band,
Cleanroom and Packaging,ESD Protective Products,Conductive Grid (1mm) tape,
Cleanroom and Packaging,ESD Protective Products,Conductive Grid (0.5mm) tape,
Cleanroom and Packaging,ESD Protective Products,Conductive Hell Strap,
